"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
240, 9.549150281252627e-02, -7.674804733494768e-02, 1.205816867588335e+00, 1.378177229444729e+02, -4.060848940614887e+01, 2.562850278739164e+05
241, 1.001576707564547e-01, -7.809027029436318e-02, 1.204899265551856e+00, 1.390735458735673e+02, -3.904797753443547e+01, 2.561202135263992e+05
242, 1.049224938121548e-01, -7.939600689021580e-02, 1.204280497470342e+00, 1.400661721131624e+02, -3.745628737780615e+01, 2.560096500190371e+05
243, 1.097847963308351e-01, -8.066474189372169e-02, 1.203429498175226e+00, 1.411351798756398e+02, -3.592692466775156e+01, 2.558546295681743e+05
244, 1.147433786121054e-01, -8.189598023980417e-02, 1.202796961393802e+00, 1.420136065139040e+02, -3.438926192914465e+01, 2.557394964771657e+05
245, 1.197970171999845e-01, -8.308924820979713e-02, 1.202188483057574e+00, 1.428766489599696e+02, -3.288774218753012e+01, 2.556299010717030e+05
246, 1.249444651847702e-01, -8.424409455852998e-02, 1.201643336519540e+00, 1.436754243604435e+02, -3.140952271210298e+01, 2.555322120877560e+05
247, 1.301844525106952e-01, -8.536009158307815e-02, 1.201147860102762e+00, 1.443977492081025e+02, -2.995178555834217e+01, 2.554430785759774e+05
248, 1.355156862892942e-01, -8.643683613067311e-02, 1.200720515200200e+00, 1.450716877664059e+02, -2.852024913454333e+01, 2.553672894316986e+05
249, 1.409368511184055e-01, -8.747395054348100e-02, 1.200267141796334e+00, 1.456303924169572e+02, -2.710185087260415e+01, 2.552827720508482e+05
250, 1.464466094067262e-01, -8.847108353818080e-02, 1.199870382417314e+00, 1.461696046060517e+02, -2.571495847075536e+01, 2.552101248976946e+05
251, 1.520436017038428e-01, -8.942791101850087e-02, 1.199515180126945e+00, 1.466634163907252e+02, -2.435393152800822e+01, 2.551452331396624e+05
252, 1.577264470356557e-01, -9.034413681910339e-02, 1.199147744398508e+00, 1.471596703421502e+02, -2.302580004594792e+01, 2.550785642653056e+05
253, 1.634937432451133e-01, -9.121949337944318e-02, 1.199023458531984e+00, 1.476051947455799e+02, -2.172102807916733e+01, 2.550613651049015e+05
254, 1.693440673381740e-01, -9.205374234646335e-02, 1.198902009776216e+00, 1.478881053207621e+02, -2.042404277844163e+01, 2.550395153830248e+05
255, 1.752759758349082e-01, -9.284667510523228e-02, 1.198715748971952e+00, 1.481832574968511e+02, -1.916034003150447e+01, 2.550051707189669e+05
256, 1.812880051256551e-01, -9.359811323686659e-02, 1.198530708402983e+00, 1.484285898719574e+02, -1.792070726834441e+01, 2.549698228409833e+05
257, 1.873786718321474e-01, -9.430790890332584e-02, 1.198352198857067e+00, 1.486438942028877e+02, -1.670733256793835e+01, 2.549352573795749e+05
258, 1.935464731735118e-01, -9.497594515890587e-02, 1.198251409130854e+00, 1.488264469443145e+02, -1.551945079948982e+01, 2.549161745961156e+05
259, 1.997898873370579e-01, -9.560213618849629e-02, 1.198203864999076e+00, 1.489669105822202e+02, -1.435580259894949e+01, 2.549071143314597e+05
260, 2.061073738537634e-01, -9.618642747290375e-02, 1.198072946828271e+00, 1.490951352758576e+02, -1.321893810485462e+01, 2.548806655565826e+05
261, 2.124973739783607e-01, -9.672879588177757e-02, 1.198161622854638e+00, 1.491933787321562e+02, -1.210667891775144e+01, 2.548992708452140e+05
262, 2.189583110739347e-01, -9.722924969490139e-02, 1.198144825522379e+00, 1.492484926096311e+02, -1.101776533105822e+01, 2.548947312187536e+05
263, 2.254885910009342e-01, -9.768782855284069e-02, 1.198195054710520e+00, 1.493057354478355e+02, -9.955242090279990e+00, 2.549045740169422e+05
264, 2.320866025105017e-01, -9.810460333815398e-02, 1.198261750411852e+00, 1.493157199264005e+02, -8.915257193679228e+00, 2.549164815371968e+05
265, 2.387507176420255e-01, -9.847967598858784e-02, 1.198353370072430e+00, 1.492986928516271e+02, -7.899044893730096e+00, 2.549329216974587e+05
266, 2.454792921248144e-01, -9.881317924388122e-02, 1.198389040189422e+00, 1.492483189915237e+02, -6.906076712654622e+00, 2.549368062191321e+05
267, 2.522706657837962e-01, -9.910527632800248e-02, 1.198525062505155e+00, 1.491498608223398e+02, -5.935675446362342e+00, 2.549601514484753e+05
268, 2.591231629491424e-01, -9.935616056883033e-02, 1.198727685314081e+00, 1.490736720300163e+02, -4.990397483240494e+00, 2.549984186742288e+05
269, 2.660350928697133e-01, -9.956605495747067e-02, 1.198874204971824e+00, 1.489754203497083e+02, -4.067927777335100e+00, 2.550244538463718e+05
270, 2.730047501302266e-01, -9.973521164957128e-02, 1.199075217106873e+00, 1.488711387526871e+02, -3.168360742526755e+00, 2.550618498314611e+05
271, 2.800304150720425e-01, -9.986391141115518e-02, 1.199244735641336e+00, 1.487222804069552e+02, -2.290587328924345e+00, 2.550913144239140e+05
272, 2.871103542174637e-01, -9.995246301164439e-02, 1.199392149721907e+00, 1.485200877895726e+02, -1.434696914696796e+00, 2.551144849666791e+05
273, 2.942428206974456e-01, -1.000012025668812e-01, 1.199691583803768e+00, 1.483487026632017e+02, -6.013431926677901e-01, 2.551706032279490e+05
274, 3.014260546826097e-01, -1.000104928350834e-01, 1.199867037479427e+00, 1.481717169817631e+02, 2.105080686161912e-01, 2.552008692423558e+05
275, 3.086582838174551e-01, -9.998072246878000e-02, 1.200192963499703e+00, 1.479585994156309e+02, 1.001104777310519e+00, 2.552613730406519e+05
276, 3.159377236576609e-01, -9.991230522588009e-02, 1.200458627110411e+00, 1.477383694363729e+02, 1.770754203934972e+00, 2.553092262971127e+05
277, 3.232625781103714e-01, -9.980567914311346e-02, 1.200721075243273e+00, 1.474937821735605e+02, 2.519572335215376e+00, 2.553556981801342e+05
278, 3.306310398773543e-01, -9.966130567515906e-02, 1.200999542099096e+00, 1.472573159304193e+02, 3.248416039642407e+00, 2.554059282416050e+05
279, 3.380412909009253e-01, -9.947966880284079e-02, 1.201275602465553e+00, 1.469855113023777e+02, 3.956730273948555e+00, 2.554545454905338e+05
280, 3.454915028125263e-01, -9.926127411381992e-02, 1.201563591002631e+00, 1.467141745225019e+02, 4.645624482282825e+00, 2.555057843820625e+05
281, 3.529798373838480e-01, -9.900664785924987e-02, 1.201847750008844e+00, 1.464338329579831e+02, 5.315238458275784e+00, 2.555560222022388e+05
282, 3.605044469803853e-01, -9.871633598988341e-02, 1.202213914074348e+00, 1.461743368209737e+02, 5.967132931665170e+00, 2.556241783601759e+05
283, 3.680634750173136e-01, -9.839090317513194e-02, 1.202488100889998e+00, 1.458704224807310e+02, 6.599087509462276e+00, 2.556717173559501e+05
284, 3.756550564175726e-01, -9.803093180857368e-02, 1.202832953313069e+00, 1.455709450448228e+02, 7.213387163111886e+00, 2.557342286949758e+05
285, 3.832773180720472e-01, -9.763702100339197e-02, 1.203155891723386e+00, 1.452689958024225e+02, 7.810159502480214e+00, 2.557921715133309e+05
286, 3.909283793017286e-01, -9.720978558119571e-02, 1.203507134090410e+00, 1.449610557854096e+02, 8.389603027777872e+00, 2.558558846881755e+05
287, 3.986063523217436e-01, -9.674985505763234e-02, 1.203865638119830e+00, 1.446261909231476e+02, 8.950775114703687e+00, 2.559202565265378e+05
288, 4.063093427071376e-01, -9.625787262815064e-02, 1.204188351341532e+00, 1.442913258161242e+02, 9.495550218588255e+00, 2.559772386646836e+05
